setting,classifier,rate
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hu1980.dat'), ('whole', 'neutral-hu1980.dat')]",KNN_manhattam,58.76
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hu1980.dat'), ('whole', 'neutral-hututu.dat')]",KNN_manhattam,69.59
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hu1980.dat'), ('whole', 'neutral-legendre.dat')]",KNN_euclidean,68.04
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hu1980.dat'), ('whole', 'neutral-chebyshev.dat')]",KNN_manhattam,66.49
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hu1980.dat'), ('whole', 'neutral-zernike.dat')]",KNN_manhattam,44.85
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hututu.dat'), ('radial', 'neutral-legendre.dat')]",KNN_manhattam,75.26
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hututu.dat'), ('radial', 'neutral-chebyshev.dat')]",KNN_manhattam,78.35
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hututu.dat'), ('radial', 'neutral-zernike.dat')]",KNN_manhattam,51.55
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hututu.dat'), ('sagittal', 'neutral-hu1980.dat')]",KNN_manhattam,75.77
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hututu.dat'), ('sagittal', 'neutral-hututu.dat')]",KNN_manhattam,75.77
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hututu.dat'), ('sagittal', 'neutral-legendre.dat')]",KNN_manhattam,79.38
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hututu.dat'), ('sagittal', 'neutral-chebyshev.dat')]",MLP,78.87
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hututu.dat'), ('sagittal', 'neutral-zernike.dat')]",MLP,46.91
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hututu.dat'), ('transversal', 'neutral-hu1980.dat')]",KNN_manhattam,78.87
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hututu.dat'), ('transversal', 'neutral-hututu.dat')]",KNN_manhattam,79.9
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hututu.dat'), ('transversal', 'neutral-legendre.dat')]",KNN_manhattam,80.93
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hututu.dat'), ('transversal', 'neutral-chebyshev.dat')]",MLP,78.87
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hututu.dat'), ('transversal', 'neutral-zernike.dat')]",MLP,47.94
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hututu.dat'), ('whole', 'neutral-hu1980.dat')]",KNN_manhattam,76.8
"[('frontal', 'neutral-hu1980.dat'), ('radial', 'neutral-hututu.dat'), ('whole', 'neutral-hututu.dat')]",KNN_manhattam,77.84
