setting,classifier,rate
"('radial', 'neutral-legendre.dat', 'transversal', 'neutral-zernike.dat')",KNN_euclidean,49.48
"('radial', 'neutral-legendre.dat', 'whole', 'neutral-hu1980.dat')",KNN_manhattam,70.62
"('radial', 'neutral-legendre.dat', 'whole', 'neutral-hututu.dat')",KNN_manhattam,73.71
"('radial', 'neutral-legendre.dat', 'whole', 'neutral-legendre.dat')",KNN_manhattam,71.13
"('radial', 'neutral-legendre.dat', 'whole', 'neutral-chebyshev.dat')",KNN_manhattam,69.07
"('radial', 'neutral-legendre.dat', 'whole', 'neutral-zernike.dat')",KNN_manhattam,73.71
"('radial', 'neutral-chebyshev.dat', 'radial', 'neutral-zernike.dat')",KNN_manhattam,53.09
"('radial', 'neutral-chebyshev.dat', 'sagittal', 'neutral-hu1980.dat')",KNN_manhattam,73.71
"('radial', 'neutral-chebyshev.dat', 'sagittal', 'neutral-hututu.dat')",KNN_manhattam,73.71
"('radial', 'neutral-chebyshev.dat', 'sagittal', 'neutral-legendre.dat')",KNN_manhattam,74.74
"('radial', 'neutral-chebyshev.dat', 'sagittal', 'neutral-chebyshev.dat')",MLP,75.26
"('radial', 'neutral-chebyshev.dat', 'sagittal', 'neutral-zernike.dat')",KNN_euclidean,45.88
"('radial', 'neutral-chebyshev.dat', 'transversal', 'neutral-hu1980.dat')",KNN_manhattam,73.71
"('radial', 'neutral-chebyshev.dat', 'transversal', 'neutral-hututu.dat')",KNN_euclidean,78.87
"('radial', 'neutral-chebyshev.dat', 'transversal', 'neutral-legendre.dat')",KNN_manhattam,76.29
"('radial', 'neutral-chebyshev.dat', 'transversal', 'neutral-chebyshev.dat')",MLP,70.1
"('radial', 'neutral-chebyshev.dat', 'transversal', 'neutral-zernike.dat')",KNN_euclidean,47.94
"('radial', 'neutral-chebyshev.dat', 'whole', 'neutral-hu1980.dat')",KNN_manhattam,72.16
"('radial', 'neutral-chebyshev.dat', 'whole', 'neutral-hututu.dat')",KNN_manhattam,73.71
"('radial', 'neutral-chebyshev.dat', 'whole', 'neutral-legendre.dat')",KNN_manhattam,69.59
"('radial', 'neutral-chebyshev.dat', 'whole', 'neutral-chebyshev.dat')",KNN_manhattam,69.07
"('radial', 'neutral-chebyshev.dat', 'whole', 'neutral-zernike.dat')",KNN_manhattam,72.68
"('radial', 'neutral-zernike.dat', 'sagittal', 'neutral-hu1980.dat')",KNN_euclidean,34.02
"('radial', 'neutral-zernike.dat', 'sagittal', 'neutral-hututu.dat')",KNN_manhattam,46.91
"('radial', 'neutral-zernike.dat', 'sagittal', 'neutral-legendre.dat')",KNN_manhattam,53.61
"('radial', 'neutral-zernike.dat', 'sagittal', 'neutral-chebyshev.dat')",KNN_manhattam,53.09
"('radial', 'neutral-zernike.dat', 'sagittal', 'neutral-zernike.dat')",KNN_euclidean,29.9
"('radial', 'neutral-zernike.dat', 'transversal', 'neutral-hu1980.dat')",KNN_euclidean,34.02
"('radial', 'neutral-zernike.dat', 'transversal', 'neutral-hututu.dat')",KNN_manhattam,51.03
"('radial', 'neutral-zernike.dat', 'transversal', 'neutral-legendre.dat')",KNN_manhattam,57.22
"('radial', 'neutral-zernike.dat', 'transversal', 'neutral-chebyshev.dat')",KNN_manhattam,53.61
"('radial', 'neutral-zernike.dat', 'transversal', 'neutral-zernike.dat')",MLP,28.35
"('radial', 'neutral-zernike.dat', 'whole', 'neutral-hu1980.dat')",MLP,31.96
"('radial', 'neutral-zernike.dat', 'whole', 'neutral-hututu.dat')",KNN_euclidean,37.63
"('radial', 'neutral-zernike.dat', 'whole', 'neutral-legendre.dat')",KNN_manhattam,39.18
"('radial', 'neutral-zernike.dat', 'whole', 'neutral-chebyshev.dat')",KNN_euclidean,37.11
"('radial', 'neutral-zernike.dat', 'whole', 'neutral-zernike.dat')",KNN_euclidean,30.41
"('sagittal', 'neutral-hu1980.dat', 'sagittal', 'neutral-hututu.dat')",KNN_manhattam,57.73
