setting,classifier,rate
"[('frontal', 'legendre'), ('lower', 'hu1980')]",KNN_manhattam,91.24
"[('frontal', 'legendre'), ('lower', 'legendre')]",KNN_manhattam,90.72
"[('frontal', 'legendre'), ('lower', 'chebyshev')]",KNN_manhattam,0.0
"[('frontal', 'legendre'), ('lower', 'zernike')]",KNN_manhattam,0.0
"[('frontal', 'chebyshev'), ('frontal', 'zernike')]",KNN_manhattam,91.24
"[('frontal', 'chebyshev'), ('radial', 'husiq')]",KNN_manhattam,92.78
"[('frontal', 'chebyshev'), ('radial', 'hututu')]",KNN_manhattam,92.27
"[('frontal', 'chebyshev'), ('radial', 'hu1980')]",KNN_manhattam,92.78
"[('frontal', 'chebyshev'), ('radial', 'legendre')]",KNN_manhattam,0.0
"[('frontal', 'chebyshev'), ('radial', 'chebyshev')]",ERROR,0.0
"[('frontal', 'chebyshev'), ('radial', 'zernike')]",KNN_manhattam,0.0
"[('frontal', 'chebyshev'), ('sagittal', 'husiq')]",KNN_manhattam,90.72
"[('frontal', 'chebyshev'), ('sagittal', 'hututu')]",KNN_manhattam,91.24
"[('frontal', 'chebyshev'), ('sagittal', 'hu1980')]",KNN_manhattam,91.24
"[('frontal', 'chebyshev'), ('sagittal', 'legendre')]",KNN_manhattam,92.78
"[('frontal', 'chebyshev'), ('sagittal', 'chebyshev')]",KNN_manhattam,89.69
"[('frontal', 'chebyshev'), ('sagittal', 'zernike')]",MLP,92.27
"[('frontal', 'chebyshev'), ('transversal', 'husiq')]",KNN_manhattam,93.81
"[('frontal', 'chebyshev'), ('transversal', 'hututu')]",KNN_manhattam,92.78
"[('frontal', 'chebyshev'), ('transversal', 'hu1980')]",KNN_manhattam,91.75
"[('frontal', 'chebyshev'), ('transversal', 'legendre')]",KNN_manhattam,91.75
"[('frontal', 'chebyshev'), ('transversal', 'chebyshev')]",KNN_manhattam,89.69
"[('frontal', 'chebyshev'), ('transversal', 'zernike')]",KNN_euclidean,88.14
"[('frontal', 'chebyshev'), ('whole', 'husiq')]",KNN_manhattam,92.27
"[('frontal', 'chebyshev'), ('whole', 'hututu')]",KNN_manhattam,92.78
"[('frontal', 'chebyshev'), ('whole', 'hu1980')]",KNN_manhattam,90.21
"[('frontal', 'chebyshev'), ('whole', 'legendre')]",KNN_manhattam,93.81
"[('frontal', 'chebyshev'), ('whole', 'chebyshev')]",KNN_manhattam,91.75
"[('frontal', 'chebyshev'), ('whole', 'zernike')]",KNN_manhattam,93.81
"[('frontal', 'chebyshev'), ('upper', 'husiq')]",KNN_manhattam,91.75
"[('frontal', 'chebyshev'), ('upper', 'hututu')]",KNN_manhattam,93.3
