setting,classifier,rate
"[('frontal', 'zernike'), ('radial', 'hututu')]",KNN_manhattam,41.75
"[('frontal', 'zernike'), ('radial', 'hu1980')]",KNN_manhattam,32.99
"[('frontal', 'zernike'), ('radial', 'husiq')]",KNN_manhattam,37.63
"[('frontal', 'zernike'), ('radial', 'zernike')]",KNN_manhattam,29.9
"[('frontal', 'zernike'), ('radial', 'legendre')]",KNN_manhattam,44.33
"[('frontal', 'zernike'), ('radial', 'chebyshev')]",KNN_manhattam,43.81
"[('frontal', 'zernike'), ('sagittal', 'spheric')]",KNN_manhattam,51.55
"[('frontal', 'zernike'), ('sagittal', 'hututu')]",KNN_manhattam,47.94
"[('frontal', 'zernike'), ('sagittal', 'hu1980')]",KNN_manhattam,35.57
"[('frontal', 'zernike'), ('sagittal', 'husiq')]",KNN_manhattam,42.27
"[('frontal', 'zernike'), ('sagittal', 'zernike')]",KNN_manhattam,26.8
"[('frontal', 'zernike'), ('sagittal', 'legendre')]",KNN_manhattam,52.58
"[('frontal', 'zernike'), ('sagittal', 'chebyshev')]",KNN_manhattam,50.0
"[('frontal', 'zernike'), ('transversal', 'spheric')]",KNN_manhattam,56.19
"[('frontal', 'zernike'), ('transversal', 'hututu')]",KNN_manhattam,51.03
"[('frontal', 'zernike'), ('transversal', 'hu1980')]",KNN_manhattam,34.54
"[('frontal', 'zernike'), ('transversal', 'husiq')]",KNN_manhattam,44.85
"[('frontal', 'zernike'), ('transversal', 'zernike')]",KNN_manhattam,28.35
"[('frontal', 'zernike'), ('transversal', 'legendre')]",KNN_manhattam,56.7
"[('frontal', 'zernike'), ('transversal', 'chebyshev')]",KNN_manhattam,52.58
"[('frontal', 'zernike'), ('whole', 'spheric')]",KNN_manhattam,37.63
"[('frontal', 'zernike'), ('whole', 'hututu')]",KNN_manhattam,39.69
"[('frontal', 'zernike'), ('whole', 'hu1980')]",KNN_manhattam,31.96
"[('frontal', 'zernike'), ('whole', 'husiq')]",KNN_manhattam,34.54
"[('frontal', 'zernike'), ('whole', 'zernike')]",KNN_manhattam,29.38
"[('frontal', 'zernike'), ('whole', 'legendre')]",KNN_manhattam,38.14
"[('frontal', 'zernike'), ('whole', 'chebyshev')]",KNN_manhattam,36.6
"[('frontal', 'zernike'), ('upper', 'spheric')]",KNN_manhattam,35.57
"[('frontal', 'zernike'), ('upper', 'hututu')]",KNN_manhattam,37.63
"[('frontal', 'zernike'), ('upper', 'hu1980')]",KNN_manhattam,32.47
"[('frontal', 'zernike'), ('upper', 'husiq')]",KNN_manhattam,33.51
"[('frontal', 'zernike'), ('upper', 'zernike')]",KNN_manhattam,30.93
"[('frontal', 'zernike'), ('upper', 'legendre')]",KNN_manhattam,37.11
"[('frontal', 'zernike'), ('upper', 'chebyshev')]",KNN_manhattam,36.6
"[('frontal', 'zernike'), ('lower', 'spheric')]",KNN_manhattam,37.11
"[('frontal', 'zernike'), ('lower', 'hututu')]",KNN_manhattam,36.6
"[('frontal', 'zernike'), ('lower', 'hu1980')]",KNN_manhattam,30.93
"[('frontal', 'zernike'), ('lower', 'husiq')]",KNN_manhattam,34.02
"[('frontal', 'zernike'), ('lower', 'zernike')]",KNN_manhattam,31.44
